"repo_path","role","source_resource","source_snapshot","source_locator","source_bytes_if_recorded","source_sha256_if_recorded","repo_bytes","repo_sha256","source_copy_status","redistribution_status","note"
"data/frozen/core/pooled_expression58.parquet","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Missing38_Expression_Recovery_Audit_v1_20260813_100740","audits/OUTPUT_CODE_LINEAGE.csv","NOT_RECORDED_SEPARATELY","NOT_RECORDED_SEPARATELY","48186","D8A917357EE506AAA8F3280921F631177B872E11FBF83456CEF64A07A44F1C04","REPOSITORY_HASH_RECORDED","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/core/pooled_full77_hr.parquet","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Expanded58_Full_Tissue_HR_v2_20260813_123324","audits/OUTPUT_CODE_LINEAGE.csv","180685","2D406BB6D5CF6C48DCC1805F2E812681856A14785E43C32A5A9ADE7FDE437DF3","180685","2D406BB6D5CF6C48DCC1805F2E812681856A14785E43C32A5A9ADE7FDE437DF3","BYTE_IDENTICAL_SOURCE_COPY","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/core/pooled_missing_expression.csv","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Missing38_Expression_Recovery_Audit_v1_20260813_100740","audits/OUTPUT_CODE_LINEAGE.csv","NOT_RECORDED_SEPARATELY","NOT_RECORDED_SEPARATELY","25473","ECABEBD514AB2001C8E5886BDB35FCB1CD8CAAF03F423AAADC1522F2C594DEB0","REPOSITORY_HASH_RECORDED","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/core/pooled_strict18_calls_alpha0001.csv","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Strict18_Fingerprint_v1_20260813_124501","audits/OUTPUT_CODE_LINEAGE.csv","2820","18C7F33DC9079FBFC8F00B16C4EAD20F8DAD5601DF60E556F99CCCA1DB1E7F64","2820","18C7F33DC9079FBFC8F00B16C4EAD20F8DAD5601DF60E556F99CCCA1DB1E7F64","BYTE_IDENTICAL_SOURCE_COPY","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/core/pooled_strict18_calls_alpha001.csv","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Strict18_Fingerprint_v1_20260813_124501","audits/OUTPUT_CODE_LINEAGE.csv","3772","653D384BD2D1AC790DCDF101E1E1DC07B8B3DFECC95D992B29C376886604E387","3772","653D384BD2D1AC790DCDF101E1E1DC07B8B3DFECC95D992B29C376886604E387","BYTE_IDENTICAL_SOURCE_COPY","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/core/pooled_strict18_hr.csv","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Strict18_Fingerprint_v1_20260813_124501","audits/OUTPUT_CODE_LINEAGE.csv","211119","48027602E0A9E63D48977BEA885155CD36D5826C773231F8CC38116354781BD8","211119","48027602E0A9E63D48977BEA885155CD36D5826C773231F8CC38116354781BD8","BYTE_IDENTICAL_SOURCE_COPY","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/core/pooled_target_activity.csv","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Final_Activity_v4_20260813_084842","audits/OUTPUT_CODE_LINEAGE.csv","NOT_RECORDED_SEPARATELY","NOT_RECORDED_SEPARATELY","81615","7C23FC0ED80FF6E460F753F778BDB744AFB3FA12F0EA11215E95760849E3B15C","REPOSITORY_HASH_RECORDED","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/core/pooled_target_activity_summary.csv","CORE_FROZEN_INPUT","Pooled-parent activity, BioGPS/GNF1H expression, HR, and fingerprint pipeline","Final_Activity_v4_20260813_084842","audits/OUTPUT_CODE_LINEAGE.csv","NOT_RECORDED_SEPARATELY","NOT_RECORDED_SEPARATELY","84336","6EC9E988065783E925DAC4AD50A606766A15819F86D63378979B2D6BBDF7BDDC","REPOSITORY_HASH_RECORDED","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/e7/calls_alpha0001.csv","ADDITIONAL_METABOLITE_FROZEN_INPUT","Five-metabolite exploratory profile release (historical source label E7)","Final_Audit_And_Freeze_20260813_191547","audits/OUTPUT_CODE_LINEAGE.csv","NOT_RECORDED_SEPARATELY","NOT_RECORDED_SEPARATELY","538111","6A0BE7D1F47B202E8AE1226428F17104C69F5351FE0A750563AEB080BEE74BBB","REPOSITORY_HASH_RECORDED","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
"data/frozen/e7/calls_alpha001.csv","ADDITIONAL_METABOLITE_FROZEN_INPUT","Five-metabolite exploratory profile release (historical source label E7)","Final_Audit_And_Freeze_20260813_191547","audits/OUTPUT_CODE_LINEAGE.csv","NOT_RECORDED_SEPARATELY","NOT_RECORDED_SEPARATELY","539554","9C36972ADF598D04C23FC74EECC410ACEBB84B7D75DD6F7636A2D9F6357864AE","REPOSITORY_HASH_RECORDED","PUBLIC_REPLACE_WITH_SYNTHETIC_FIXTURE","Excluded from the public tree; exact user-supplied file contract is in EXTERNAL_INPUT_MANIFEST.tsv and synthetic public tests are in data/fixtures/"
